date,open,high
2010-01-04,1.693,1.7412
2010-01-05,1.6713,1.737
2010-01-06,1.6798,1.7359
2010-01-07,1.7242,1.7472
2010-01-08,1.6954,1.7492
2010-01-11,1.6765,1.733
2010-01-12,1.687,1.7456
2010-01-13,1.6959,1.7485
2010-01-14,1.708,1.7698
2010-01-15,1.7085,1.7704
2010-01-18,1.7312,1.7737
2010-01-19,1.71,1.7786
2010-01-20,1.7215,1.7904
2010-01-21,1.7405,1.8032
2010-01-22,1.7525,1.8301
2010-01-25,1.8189,1.8213
2010-01-26,1.8136,1.846
2010-01-27,1.786,1.8663
2010-01-28,1.8064,1.8712
2010-01-29,1.82,1.8729
2010-02-01,1.8728,1.8952
2010-02-02,1.8075,1.8553
2010-02-03,1.7819,1.85
2010-02-04,1.7915,1.8945
2010-02-05,1.8245,1.8876
2010-02-08,1.8335,1.8858
2010-02-09,1.8194,1.8731
2010-02-10,1.7975,1.8592
2010-02-11,1.7995,1.8598
2010-02-12,1.8035,1.87
2010-02-15,1.8115,1.8593
2010-02-16,1.8045,1.8566
2010-02-17,1.7928,1.8572
2010-02-18,1.7795,1.8352
2010-02-19,1.7725,1.827
2010-02-22,1.7938,1.8094
2010-02-23,1.7607,1.8208
2010-02-24,1.7757,1.8239
2010-02-25,1.7728,1.838
2010-02-26,1.7745,1.8285
2010-03-01,1.7868,1.8112
2010-03-02,1.7458,1.798
2010-03-03,1.7423,1.7904
2010-03-04,1.7401,1.7922
2010-03-05,1.7382,1.7885
2010-03-08,1.7734,1.7876
2010-03-09,1.7844,1.7974
2010-03-10,1.725,1.7787
2010-03-11,1.7185,1.7722
2010-03-12,1.7142,1.7657
2010-03-15,1.7144,1.7659
2010-03-16,1.7136,1.7662
2010-03-17,1.717,1.7662
2010-03-18,1.7126,1.7884
2010-03-19,1.7406,1.7994
2010-03-22,1.7464,1.8097
2010-03-23,1.7493,1.7919
2010-03-24,1.7267,1.7933
2010-03-25,1.7413,1.8029
2010-03-26,1.7706,1.823
2010-03-28,1.8216,1.8216
2010-03-29,1.8026,1.8026
2010-03-30,1.7391,1.7891
2010-03-31,1.7302,1.7776
2010-04-01,1.7178,1.765
2010-04-04,1.7178,1.7605
2010-04-05,1.7178,1.7671
2010-04-06,1.7044,1.777
2010-04-07,1.7125,1.7874
2010-04-08,1.7301,1.7779
2010-04-11,1.7147,1.7666
2010-04-12,1.7572,1.7651
2010-04-13,1.6995,1.7477
2010-04-14,1.695,1.7507
2010-04-15,1.6991,1.7608
2010-04-18,1.7557,1.7658
2010-04-19,1.7049,1.7533
2010-04-20,1.7023,1.7525
2010-04-21,1.7024,1.767
2010-04-22,1.7144,1.764
2010-04-25,1.7057,1.7531
2010-04-26,1.6963,1.765
2010-04-27,1.7249,1.7688
2010-04-28,1.7021,1.75
2010-04-29,1.679,1.7306
2010-05-02,1.676,1.737
2010-05-03,1.6772,1.7589
2010-05-04,1.7135,1.7893
2010-05-05,1.7445,1.8418
2010-05-06,1.8047,1.8671
2010-05-09,1.8197,1.835
2010-05-10,1.7215,1.7881
2010-05-11,1.7392,1.7864
2010-05-12,1.7261,1.77
2010-05-13,1.7237,1.8145
2010-05-16,1.7564,1.8182
2010-05-17,1.7502,1.816
2010-05-18,1.7706,1.8549
2010-05-19,1.7772,1.8935
2010-05-20,1.8319,1.899
2010-05-23,1.7999,1.8638
2010-05-24,1.8195,1.909
2010-05-25,1.794,1.863
2010-05-26,1.8557,1.8705
2010-05-27,1.7643,1.8255
2010-05-30,1.8144,1.8149
