"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 24, 2018","3,184.84","3,230.50","3,235.00","3,138.50","1.13M","-1.82"
"Jan 23, 2018","3,243.88","3,214.50","3,248.50","3,212.50","886.66K","1.17"
"Jan 22, 2018","3,206.51","3,198.00","3,216.00","3,188.50","700.53K","0.02"
"Jan 19, 2018","3,205.94","3,213.00","3,219.50","3,199.50","627.05K","-0.38"
"Jan 18, 2018","3,218.18","3,227.00","3,231.00","3,208.00","798.27K","-0.17"
"Jan 17, 2018","3,223.67","3,236.50","3,245.00","3,218.50","725.42K","-0.30"
"Jan 16, 2018","3,233.34","3,222.00","3,244.00","3,219.00","846.39K","0.71"
"Jan 15, 2018","3,210.52","3,205.00","3,226.50","3,199.00","543.55K","-0.24"
"Jan 12, 2018","3,218.18","3,228.50","3,236.50","3,206.50","839.97K","-0.44"
"Jan 11, 2018","3,232.40","3,241.50","3,245.50","3,220.00","702.80K","-0.30"
"Jan 10, 2018","3,242.12","3,263.50","3,265.50","3,236.00","822.69K","-0.54"
"Jan 09, 2018","3,259.64","3,255.00","3,265.50","3,239.50","761.24K","0.48"
"Jan 08, 2018","3,244.03","3,242.00","3,255.00","3,235.00","598.47K","0.05"
"Jan 05, 2018","3,242.38","3,245.00","3,259.50","3,236.50","643.25K","0.10"
"Jan 04, 2018","3,239.13","3,244.50","3,254.00","3,232.50","656.97K","-0.44"
"Jan 03, 2018","3,253.38","3,263.00","3,277.50","3,244.00","726.81K","-0.52"
"Jan 02, 2018","3,270.39","3,306.00","3,306.00","3,268.50","571.30K","-1.14"
"Dec 28, 2017","3,308.00","3,309.00","3,317.50","3,302.00","111.89K","-0.06"
"Dec 27, 2017","3,310.00","3,303.00","3,322.00","3,294.00","503.93K","-0.29"
"Dec 26, 2017","3,319.69","3,330.00","3,333.00","3,306.00","374.52K","-0.45"
"Dec 22, 2017","3,334.79","3,306.50","3,340.50","3,304.50","559.02K","0.72"
"Dec 21, 2017","3,310.93","3,297.00","3,319.00","3,293.50","687.58K","0.62"
