Date,adx
2010-01-04,
2010-01-05,100.0
2010-01-06,100.0
2010-01-07,94.3962768162
2010-01-08,92.5197013644
2010-01-11,70.9763741452
2010-01-12,51.5366681516
2010-01-13,41.2793541484
2010-01-14,44.5112408604
2010-01-15,46.8949144211
2010-01-18,49.6107517911
2010-01-19,40.7844534387
2010-01-20,39.6765853524
2010-01-21,42.7938976174
2010-01-22,49.8786552864
2010-01-25,54.9077661919
2010-01-26,61.242309303
2010-01-27,52.0504272417
2010-01-28,46.5891756113
2010-01-29,43.0983410078
2010-02-01,45.142768235
2010-02-02,41.2009346966
2010-02-03,30.2064594513
2010-02-04,30.3060493092
2010-02-05,30.3771636689
2010-02-08,30.427948801
2010-02-09,25.8548124467
2010-02-10,20.8379505269
2010-02-11,17.0617119686
2010-02-12,13.3614329568
2010-02-15,10.7184813664
2010-02-16,9.17603489892
2010-02-17,12.0976673463
2010-02-18,17.9435247083
2010-02-19,23.8569802857
2010-02-22,32.9273210984
2010-02-23,33.8953921758
2010-02-24,33.1288309376
2010-02-25,26.4252455693
2010-02-26,21.6369794993
2010-03-01,25.5298894994
2010-03-02,31.5402244058
2010-03-03,35.8333177637
2010-03-04,39.3587948729
2010-03-05,42.3077157193
2010-03-08,46.6815456539
2010-03-09,43.3203409357
2010-03-10,44.1499538482
2010-03-11,46.2034877856
2010-03-12,48.611140128
2010-03-15,50.4705966816
2010-03-16,51.524914441
2010-03-17,52.2779985365
2010-03-18,38.5345586079
2010-03-19,33.5875322562
2010-03-22,33.6822065721
2010-03-23,28.1471111792
2010-03-24,21.0316130493
2010-03-25,18.3118795655
2010-03-26,22.8580506641
2010-03-28,26.1053157292
2010-03-29,21.0552704203
2010-03-30,19.3324955574
2010-03-31,20.8478905971
2010-04-01,25.2430951724
2010-04-04,28.382527011
2010-04-05,30.6249783238
2010-04-06,26.0480657778
2010-04-07,19.7164569713
2010-04-08,15.1938792528
2010-04-11,16.9056473718
2010-04-12,21.6928294774
2010-04-13,26.5858017592
2010-04-14,31.4368118845
2010-04-15,28.0399084012
2010-04-18,22.6343392671
2010-04-19,21.1474794548
2010-04-20,21.3124175486
2010-04-21,17.7369953009
2010-04-22,15.1831222669
2010-04-25,13.5187718928
2010-04-26,13.496308749
2010-04-27,15.2444334575
2010-04-28,15.2486740765
2010-04-29,22.279782211
2010-05-02,23.9088194084
2010-05-03,18.2644515482
2010-05-04,22.0872123663
2010-05-05,31.920493359
2010-05-06,41.0346534587
2010-05-09,38.8356757909
2010-05-10,28.7990725416
2010-05-11,21.6300702207
2010-05-12,18.7981763773
2010-05-13,17.9280922503
2010-05-16,17.8613633249
2010-05-17,17.8136998067
2010-05-18,23.5154592462
2010-05-19,31.4695676206
2010-05-20,37.6326211875
2010-05-23,33.7835555064
2010-05-24,36.130870052
2010-05-25,32.4204200556
2010-05-26,30.7169302344
2010-05-27,23.6081271673
2010-05-30,22.6254011393
2010-05-31,18.5567132963
2010-06-01,17.6040714382
2010-06-02,20.773151818
2010-06-03,18.2320819041
2010-06-06,14.4707135096
2010-06-07,12.225160931
2010-06-08,11.3190816753
2010-06-09,11.2583134183
2010-06-10,17.8778693468
2010-06-13,22.6061235815
2010-06-14,25.2673862606
2010-06-15,30.6553442019
2010-06-16,34.5038855885
2010-06-17,37.8769296203
2010-06-20,41.6200171253
2010-06-21,43.5769065458
2010-06-22,33.0589255006
2010-06-23,25.7562897745
2010-06-24,21.9631045521
2010-06-27,20.6611063958
2010-06-28,17.9554123392
2010-06-29,16.3773122447
2010-06-30,15.2500978915
2010-07-01,21.6783510745
2010-07-04,29.0991749216
2010-07-05,34.2784965358
2010-07-06,34.9163476245
2010-07-07,37.8697283168
2010-07-08,40.3389966932
2010-07-11,43.053459339
2010-07-12,44.9923612289
2010-07-13,48.2366640653
2010-07-14,44.8503007076
2010-07-15,37.1329778255
2010-07-18,30.4804676926
2010-07-19,22.9606929636
2010-07-20,22.7288043967
2010-07-21,21.004248972
2010-07-22,26.5138411817
2010-07-25,27.0603720241
2010-07-26,27.4507511973
2010-07-27,27.1664728591
2010-07-28,26.6812892829
2010-07-29,30.8062449696
2010-08-01,35.029485633
2010-08-02,33.145352611
2010-08-03,31.7995433095
2010-08-04,33.7277172679
2010-08-05,32.55722927
2010-08-08,31.7211664144
2010-08-09,35.8190392809
2010-08-10,30.034121095
2010-08-11,21.5017008903
2010-08-12,18.9307044287
2010-08-15,17.0942783847
2010-08-16,24.4667760553
2010-08-17,30.1271982745
2010-08-18,26.2365829746
2010-08-19,22.689288385
2010-08-22,20.1555065353
2010-08-23,21.5198877607
2010-08-24,22.4944457788
2010-08-25,17.0505210971
2010-08-26,12.203753417
2010-08-29,16.301905531
2010-08-30,13.3303674282
2010-08-31,13.4145238581
2010-09-01,18.515623358
2010-09-02,28.1751096232
2010-09-05,30.0044148093
2010-09-06,33.0517460638
2010-09-07,34.8396084533
2010-09-08,37.6354104587
2010-09-09,40.5104309094
2010-09-12,43.0813180652
2010-09-13,48.5741356061
2010-09-14,46.7121412499
2010-09-15,42.9217809105
2010-09-16,44.9708892076
2010-09-19,41.102761126
2010-09-20,30.3457208353
2010-09-21,31.2597851218
