Date,cci
2010-01-04,
2010-01-05,66.6666666667
2010-01-06,60.3636363636
2010-01-07,133.333333333
2010-01-08,106.533036377
2010-01-11,-54.3424317618
2010-01-12,72.5765664512
2010-01-13,122.552574329
2010-01-14,207.118433323
2010-01-15,150.405423368
2010-01-18,137.013551598
2010-01-19,117.697513905
2010-01-20,141.130291921
2010-01-21,157.453523408
2010-01-22,176.807798632
2010-01-25,124.296505854
2010-01-26,184.521032211
2010-01-27,148.95411459
2010-01-28,142.587102984
2010-01-29,129.217197545
2010-02-01,113.677943103
2010-02-02,55.9849118069
2010-02-03,39.7666372702
2010-02-04,84.0541365625
2010-02-05,95.2961860265
2010-02-08,88.0915236609
2010-02-09,32.9407365863
2010-02-10,-10.8194768907
2010-02-11,-19.2463205564
2010-02-12,-6.33669148781
2010-02-15,-31.6031988658
2010-02-16,-73.5818440473
2010-02-17,-100.841219769
2010-02-18,-165.082939278
2010-02-19,-183.881104919
2010-02-22,-172.11140144
2010-02-23,-116.065525329
2010-02-24,-79.4595938077
2010-02-25,-36.4955442151
2010-02-26,-71.91138881
2010-03-01,-113.273930066
2010-03-02,-200.638199605
2010-03-03,-115.578497686
2010-03-04,-102.862129145
2010-03-05,-103.24529991
2010-03-08,-93.3884927746
2010-03-09,-62.3639800189
2010-03-10,-102.429168389
2010-03-11,-101.950864283
2010-03-12,-109.756974136
2010-03-15,-101.741509484
2010-03-16,-86.1153956013
2010-03-17,-78.6174575278
2010-03-18,-23.2834820494
2010-03-19,119.683771154
2010-03-22,139.06824967
2010-03-23,44.0841865756
2010-03-24,53.775561818
2010-03-25,100.33346672
2010-03-26,179.843200865
2010-03-28,124.615237549
2010-03-29,44.079950546
2010-03-30,-4.87602448387
2010-03-31,-62.7338465127
2010-04-01,-103.19075435
2010-04-04,-115.078032705
2010-04-05,-122.60646814
2010-04-06,-78.9531421407
2010-04-07,-50.2781681893
2010-04-08,-34.4695762982
2010-04-11,-82.3407407407
2010-04-12,-133.008382691
2010-04-13,-109.51133508
2010-04-14,-100.500688447
2010-04-15,-61.807796882
2010-04-18,-11.5342365434
2010-04-19,-62.3596433289
2010-04-20,-70.7878282618
2010-04-21,14.6287957511
2010-04-22,37.3895582329
2010-04-25,-60.8613702761
2010-04-26,7.91873963515
2010-04-27,82.4401752612
2010-04-28,-111.394302849
2010-04-29,-207.81049936
2010-05-02,-135.20543896
2010-05-03,-54.0691514976
2010-05-04,164.301075269
2010-05-05,298.380811241
2010-05-06,263.861196883
2010-05-09,102.430650806
2010-05-10,16.5178272794
2010-05-11,23.8727888285
2010-05-12,-4.42200968237
2010-05-13,49.0706319703
2010-05-16,62.9073839868
2010-05-17,61.6628211403
2010-05-18,99.529772283
2010-05-19,150.201433579
2010-05-20,145.237907362
2010-05-23,97.2739291777
2010-05-24,116.622272958
2010-05-25,55.1043625641
2010-05-26,45.1925565201
2010-05-27,-20.8166380462
2010-05-30,-55.6009894492
2010-05-31,20.8065804185
2010-06-01,5.37185722371
2010-06-02,-68.1006485084
2010-06-03,18.6446842041
2010-06-06,80.8205617071
2010-06-07,74.6132386508
2010-06-08,-2.15111831151
2010-06-09,-39.7745313855
2010-06-10,-121.457450436
2010-06-13,-111.6072599
2010-06-14,-103.355704698
2010-06-15,-118.328425186
2010-06-16,-111.009407577
2010-06-17,-116.932907348
2010-06-20,-118.813229725
2010-06-21,-99.6925849367
2010-06-22,-33.3035141865
2010-06-23,-49.0951260943
2010-06-24,-51.8302395165
2010-06-27,-56.196778496
2010-06-28,30.6056959487
2010-06-29,82.3159522019
2010-06-30,151.162790698
2010-07-01,-21.6188907194
2010-07-04,-95.4892915246
2010-07-05,-84.7451910408
2010-07-06,-57.8930553892
2010-07-07,-88.7429519071
2010-07-08,-124.353120244
2010-07-11,-115.974479355
2010-07-12,-106.154655445
2010-07-13,-81.9042575386
2010-07-14,-39.1724605732
2010-07-15,-7.06825718953
2010-07-18,46.5816213828
2010-07-19,76.820693119
2010-07-20,17.0136679092
2010-07-21,24.0817565517
2010-07-22,-85.2944354403
2010-07-25,-2.05007085499
2010-07-26,-51.5798842902
2010-07-27,-22.0767888307
2010-07-28,-15.6692020283
2010-07-29,-94.5600584155
2010-08-01,-167.811663991
2010-08-02,-114.513363591
2010-08-03,-83.2268222654
2010-08-04,-95.1359084406
2010-08-05,-75.6900931414
2010-08-08,-172.64091197
2010-08-09,-53.3743029475
2010-08-10,32.7604166667
2010-08-11,134.811782099
2010-08-12,94.7489371481
2010-08-15,-35.4889379052
2010-08-16,-30.6308279046
2010-08-17,-63.6770930113
2010-08-18,-17.1290238158
2010-08-19,41.0498010111
2010-08-22,-134.427250608
2010-08-23,124.198476985
2010-08-24,88.4221341553
2010-08-25,43.0806257521
2010-08-26,-2.09461899603
2010-08-29,-192.513790386
2010-08-30,10.193496908
2010-08-31,-25.6070640177
2010-09-01,-114.649763094
2010-09-02,-173.170002988
2010-09-05,-202.165743041
2010-09-06,-102.061904536
2010-09-07,-75.4918756165
2010-09-08,-90.8817707656
2010-09-09,-76.4955471628
2010-09-12,-134.360473538
2010-09-13,-87.5973970374
2010-09-14,-93.0598225961
2010-09-15,-29.266453298
2010-09-16,-63.065487633
2010-09-19,-119.731824848
2010-09-20,71.9879810022
2010-09-21,9.28849233584
2010-09-22,-94.128061375
2010-09-23,26.3318503308
2010-09-26,-148.108301954
2010-09-27,-30.1634179957
2010-09-28,-30.4049844237
2010-09-29,-82.9137784264
2010-09-30,-164.396556451
2010-10-03,-217.590603065
2010-10-04,-50.4011520263
2010-10-05,-167.449023594
2010-10-06,-94.3922166987
2010-10-07,-75.8547687096
2010-10-10,-168.461398576
2010-10-11,-92.6229508197
2010-10-12,-85.7948139797
2010-10-13,-110.145603619
2010-10-14,-76.5209815595
2010-10-17,-113.471762464
2010-10-18,36.5890611585
2010-10-19,68.3094469306
2010-10-20,64.3692589714
2010-10-21,119.008065487
2010-10-24,72.2082608415
2010-10-25,125.813077713
2010-10-26,131.91788033
2010-10-27,150.743148502
2010-10-28,100.155634899
2010-11-01,0.334711557393
2010-11-02,66.9838752313
2010-11-03,52.6922271108
2010-11-04,-17.3850054328
2010-11-05,-112.808543744
2010-11-08,-57.1011956839
2010-11-09,19.7196138077
2010-11-10,45.1387402811
2010-11-11,91.1632220456
2010-11-12,123.267188217
2010-11-15,20.0365501905
2010-11-16,130.805388887
2010-11-17,188.51994852
2010-11-18,100.608760208
2010-11-19,34.0810481727
2010-11-22,-21.5923251566
2010-11-23,81.7985730878
2010-11-24,103.772658909
2010-11-25,39.0813648294
2010-11-26,40.4285048905
2010-11-29,68.7020627001
2010-11-30,-11.1014467542
2010-12-01,-64.7679510919
2010-12-02,-111.395771011
2010-12-03,-151.099744246
2010-12-06,-234.022916991
2010-12-07,-150.796973112
2010-12-08,-104.025946851
2010-12-09,-49.0644099671
2010-12-10,9.55995375094
2010-12-13,-0.420577524744
2010-12-14,-40.7974124526
2010-12-15,-24.6075715605
2010-12-16,28.3237731039
2010-12-17,47.543628098
2010-12-20,2.82258064517
2010-12-21,70.4449152542
2010-12-22,12.4589645216
2010-12-23,25.5433570745
2010-12-24,-145.34914361
2010-12-27,-68.7865349728
2010-12-28,-128.290194467
2010-12-29,-75.9392486011
2010-12-30,-154.970811958
2010-12-31,-251.494462145
2011-01-03,-200.834009773
2011-01-04,-124.829952942
2011-01-05,-62.5102997393
2011-01-06,-1.57710585409
2011-01-07,33.6334375146
2011-01-10,-30.0579846419
2011-01-11,63.3007322444
2011-01-12,-28.0774550484
2011-01-13,-77.9315716939
2011-01-14,28.6419753086
2011-01-17,15.758409603
2011-01-18,66.1774894502
2011-01-19,20.346376436
2011-01-20,6.63157894737
2011-01-21,-99.6354799514
2011-01-24,-128.958660387
2011-01-25,-10.1329816463
