Date,cr
2010-01-04,
2010-01-05,66.1888701518
2010-01-06,62.7616926503
2010-01-07,71.2598425197
2010-01-08,77.0336093522
2010-01-11,60.7315761162
2010-01-12,68.2674199623
2010-01-13,70.9758131776
2010-01-14,80.1450935472
2010-01-15,77.4858663119
2010-01-18,79.1925782445
2010-01-19,76.9875608437
2010-01-20,79.6969446054
2010-01-21,82.9614132961
2010-01-22,88.4425395903
2010-01-25,86.3989200135
2010-01-26,97.7185285184
2010-01-27,96.1695544554
2010-01-28,98.063224819
2010-01-29,97.4555848232
2010-02-01,98.18287465
2010-02-02,90.7923016803
2010-02-03,87.016762822
2010-02-04,91.8838066334
2010-02-05,92.3439193132
2010-02-08,91.1976623169
2010-02-09,87.7914273761
2010-02-10,85.6125409805
2010-02-11,85.8842129037
2010-02-12,86.2401931201
2010-02-15,84.3720721058
2010-02-16,86.5622267006
2010-02-17,84.0260128569
2010-02-18,80.1782387962
2010-02-19,76.1675873449
2010-02-22,73.3697953423
2010-02-23,74.0034539879
2010-02-24,75.2120166739
2010-02-25,74.7189598822
2010-02-26,71.1898608702
2010-03-01,65.1118695487
2010-03-02,62.979874852
2010-03-03,60.2319053666
2010-03-04,59.2191989184
2010-03-05,56.5057008719
2010-03-08,55.329158798
2010-03-09,54.8011477379
2010-03-10,55.725728074
2010-03-11,56.0386965377
2010-03-12,50.1876331181
2010-03-15,48.7302283228
2010-03-16,48.5436893204
2010-03-17,49.9129781934
2010-03-18,53.2179500466
2010-03-19,56.2250978456
2010-03-22,56.1343410086
2010-03-23,54.3408025013
2010-03-24,54.7445759029
2010-03-25,56.3859881954
2010-03-26,62.4572758345
2010-03-28,62.8671763544
2010-03-29,62.0271651818
2010-03-30,58.4960621426
2010-03-31,55.9367034834
2010-04-01,52.9422103487
2010-04-04,53.3080009944
2010-04-05,55.7790583886
2010-04-06,59.0060739923
2010-04-07,57.062792275
2010-04-08,57.6037363032
2010-04-11,56.165991039
2010-04-12,56.1014600874
2010-04-13,55.0256081946
2010-04-14,57.0600935588
2010-04-15,58.9417644502
2010-04-18,61.2122321919
2010-04-19,59.5450085402
2010-04-20,59.0694635988
2010-04-21,60.7111756168
2010-04-22,58.8795968302
2010-04-25,53.488372093
2010-04-26,53.0791788856
2010-04-27,56.8154534541
2010-04-28,54.0796001883
2010-04-29,49.914833215
2010-05-02,46.7223583831
2010-05-03,49.4226010448
2010-05-04,57.9553609875
2010-05-05,67.5504259007
2010-05-06,76.4855197877
2010-05-09,73.4767828458
2010-05-10,68.9738832596
2010-05-11,70.3338034791
2010-05-12,67.0568682708
2010-05-13,70.3745577884
2010-05-16,72.0431670361
2010-05-17,74.4903923431
2010-05-18,80.6425163983
2010-05-19,85.5458419042
2010-05-20,90.1832460733
2010-05-23,84.9251888437
2010-05-24,89.8961456886
2010-05-25,86.0729059859
2010-05-26,88.6500983372
2010-05-27,81.8038137777
2010-05-30,78.057161738
2010-05-31,85.6325799338
2010-06-01,85.1815778489
2010-06-02,79.3906689905
2010-06-03,87.7441148527
2010-06-06,92.5544751224
2010-06-07,95.1473199725
2010-06-08,88.9678064102
2010-06-09,82.5646597042
2010-06-10,70.2703601477
2010-06-13,63.4817006496
