Date,cr-ma1
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,66.1888701518
2010-01-11,64.4752814011
2010-01-12,66.7368017739
2010-01-13,69.3110036685
2010-01-14,67.595118158
2010-01-15,68.0108281201
2010-01-18,69.6536522256
2010-01-19,71.4307024311
2010-01-20,71.5211538231
2010-01-21,75.2133542487
2010-01-22,76.957382425
2010-01-25,78.7016087105
2010-01-26,79.2648726603
2010-01-27,81.456207316
2010-01-28,82.8974756698
2010-01-29,87.0436692048
2010-02-01,90.3381911748
2010-02-02,93.3585534793
2010-02-03,95.1611625259
2010-02-04,97.5179534532
2010-02-05,96.1327080856
2010-02-08,94.3021497589
2010-02-09,93.0662661218
2010-02-10,92.0439330198
2010-02-11,90.6468905532
2010-02-12,90.0467156923
2010-02-15,89.765871324
2010-02-16,88.5659525781
2010-02-17,87.3452073395
2010-02-18,85.9895806808
2010-02-19,85.7465221066
2010-02-22,85.4317608633
2010-02-23,84.2927713279
2010-02-24,82.2801281396
2010-02-25,80.3038920254
2010-02-26,77.8413495806
2010-03-01,76.1316988347
2010-03-02,75.092211743
2010-03-03,74.1408946097
2010-03-04,72.387978465
2010-03-05,70.1713922399
2010-03-08,67.1509185055
2010-03-09,64.024871069
2010-03-10,61.0618686946
2010-03-11,58.989077951
2010-03-12,57.3278459213
2010-03-15,56.4129033631
2010-03-16,55.7670584756
2010-03-17,54.4840889023
2010-03-18,53.1442582188
2010-03-19,51.8736434036
2010-03-22,50.6932876844
2010-03-23,50.1205670813
2010-03-24,51.3475533426
2010-03-25,52.9068528347
2010-03-26,54.0815823401
2010-03-28,55.0658439993
2010-03-29,55.7133755331
2010-03-30,56.9886951966
2010-03-31,58.183999513
2010-04-01,59.4986901579
2010-04-04,60.187261678
2010-04-05,60.0245927499
2010-04-06,58.0180110512
2010-04-07,56.1284666836
2010-04-08,54.9519845209
2010-04-11,55.0445508862
2010-04-12,55.2645801976
2010-04-13,56.1978111597
2010-04-14,56.769171879
2010-04-15,56.9176135315
2010-04-18,56.1191550497
2010-04-19,56.1181775083
2010-04-20,56.3867795372
2010-04-21,57.3998466707
2010-04-22,58.090993138
2010-04-25,58.9029567631
2010-04-26,59.636632884
2010-04-27,59.6236892417
2010-04-28,58.0722843066
2010-04-29,56.7234421988
2010-05-02,56.2658003673
2010-05-03,54.9300091739
2010-05-04,53.1294170402
2010-05-05,51.9001835601
2010-05-06,51.334914702
2010-05-09,51.6373838659
2010-05-10,54.4258949786
2010-05-11,59.8543751623
2010-05-12,65.1848027434
2010-05-13,69.0724444842
2010-05-16,71.5717513441
2010-05-17,71.4714110033
2010-05-18,70.234724744
2010-05-19,69.9439966251
2010-05-20,71.0587351959
2010-05-23,73.1418411856
2010-05-24,76.8758365234
2010-05-25,80.8774737155
2010-05-26,83.7045524598
2010-05-27,86.8867404238
2010-05-30,88.0421619471
2010-05-31,88.7346149862
2010-06-01,87.090549065
2010-06-02,85.5181011122
2010-06-03,84.641795286
2010-06-06,84.4582586798
2010-06-07,82.5659998061
2010-06-08,83.7779708742
2010-06-09,87.2031910066
2010-06-10,89.0238359152
2010-06-13,89.8532367811
2010-06-14,90.549173203
2010-06-15,87.0147068635
2010-06-16,80.6781330648
2010-06-17,75.305808845
2010-06-20,71.5763924087
2010-06-21,68.7030619645
2010-06-22,68.5687589144
2010-06-23,68.6333184743
2010-06-24,67.4243639061
2010-06-27,66.5276875058
2010-06-28,64.9157908509
2010-06-29,61.9806907711
2010-06-30,59.3328211479
2010-07-01,57.9924762613
2010-07-04,55.0889295374
2010-07-05,54.6940513181
2010-07-06,54.2969429279
2010-07-07,55.1149570092
2010-07-08,55.5942138279
2010-07-11,55.9587909994
2010-07-12,54.7036101478
2010-07-13,55.0069236491
2010-07-14,54.0325453988
2010-07-15,51.7741360191
2010-07-18,50.1916199097
2010-07-19,49.7369711477
2010-07-20,49.0716188771
2010-07-21,50.3967852147
2010-07-22,52.8216382888
2010-07-25,54.8172670382
2010-07-26,56.5287592644
2010-07-27,57.7255785496
2010-07-28,58.4021336519
2010-07-29,58.7863153633
2010-08-01,59.8058728603
2010-08-02,59.3545208326
2010-08-03,59.0558841731
2010-08-04,58.0026474196
2010-08-05,57.1621073489
2010-08-08,55.7798242544
2010-08-09,54.8495757258
2010-08-10,53.6532410301
2010-08-11,53.4351591903
2010-08-12,53.8844816687
2010-08-15,55.0945688461
2010-08-16,56.9849901256
2010-08-17,59.376513908
2010-08-18,61.3053783098
2010-08-19,62.1975852796
2010-08-22,62.717037855
2010-08-23,63.2336200595
2010-08-24,63.511752813
2010-08-25,63.2854723957
2010-08-26,63.9496565515
2010-08-29,64.3681461257
2010-08-30,64.8391283691
2010-08-31,65.0936580201
2010-09-01,65.7968602341
2010-09-02,66.3007417182
2010-09-05,67.1693144201
2010-09-06,67.1598561819
2010-09-07,66.7253335657
2010-09-08,66.3881123827
2010-09-09,66.228545318
2010-09-12,65.875225454
2010-09-13,65.7782203857
2010-09-14,66.5790852886
2010-09-15,66.8323788525
2010-09-16,66.4652838472
2010-09-19,65.7308406003
2010-09-20,65.4247769706
2010-09-21,64.0605000635
2010-09-22,63.2607180841
2010-09-23,63.3567517245
2010-09-26,63.5022920823
2010-09-27,63.7300133595
2010-09-28,65.2618545243
2010-09-29,65.824550357
2010-09-30,65.8966410773
2010-10-03,65.1764303564
2010-10-04,63.9228876551
2010-10-05,61.9203843676
2010-10-06,60.636334779
2010-10-07,59.9791538409
2010-10-10,58.6639523887
2010-10-11,58.1581982099
2010-10-12,58.536015989
2010-10-13,58.8320451593
2010-10-14,58.4665132437
2010-10-17,59.3244752279
2010-10-18,59.4113838131
2010-10-19,59.3845954932
2010-10-20,59.6749078146
2010-10-21,61.0044350679
2010-10-24,62.7056830804
2010-10-25,64.8053190988
2010-10-26,66.6565253649
2010-10-27,68.9445636202
2010-10-28,70.0182120941
2010-11-01,70.5836672049
2010-11-02,72.0994254532
2010-11-03,72.887750156
2010-11-04,72.0170731815
2010-11-05,71.8677513482
2010-11-08,71.8886507295
2010-11-09,70.362790883
2010-11-10,69.2442795078
2010-11-11,70.2099418016
2010-11-12,70.649806648
2010-11-15,71.0457345121
2010-11-16,73.4535966261
2010-11-17,75.9195589237
2010-11-18,77.0929481135
2010-11-19,79.4306305749
2010-11-22,82.379450384
2010-11-23,83.4113096865
2010-11-24,84.4252602327
2010-11-25,85.4465268807
2010-11-26,85.5452445078
2010-11-29,84.3384981364
2010-11-30,83.0103278559
2010-12-01,81.9911558779
2010-12-02,80.5920444024
2010-12-03,77.585742503
2010-12-06,75.0339222066
2010-12-07,72.3139450798
2010-12-08,68.6688075531
2010-12-09,65.4928660347
2010-12-10,63.5309960002
2010-12-13,62.1695720145
2010-12-14,62.0992576375
