Date,dma
2010-01-04,0.0
2010-01-05,0.0
2010-01-06,0.0
2010-01-07,0.0
2010-01-08,0.0
2010-01-11,0.0
2010-01-12,0.0
2010-01-13,0.0
2010-01-14,0.0
2010-01-15,0.0
2010-01-18,0.00232181818182
2010-01-19,0.00337666666667
2010-01-20,0.00574461538462
2010-01-21,0.00818571428571
2010-01-22,0.0124166666667
2010-01-25,0.01598
2010-01-26,0.0211747058824
2010-01-27,0.0267133333333
2010-01-28,0.0318121052632
2010-01-29,0.037655
2010-02-01,0.0435347619048
2010-02-02,0.0469454545455
2010-02-03,0.0501260869565
2010-02-04,0.0541891666667
2010-02-05,0.056902
2010-02-08,0.0627384615385
2010-02-09,0.06199
2010-02-10,0.0602507142857
2010-02-11,0.0568572413793
2010-02-12,0.0535566666667
2010-02-15,0.0509451612903
2010-02-16,0.05101625
2010-02-17,0.0485342424242
2010-02-18,0.04207
2010-02-19,0.0342871428571
2010-02-22,0.0279416666667
2010-02-23,0.0252924324324
2010-02-24,0.0218257894737
2010-02-25,0.0195766666667
2010-02-26,0.0144125
2010-03-01,0.00934926829268
2010-03-02,0.000172380952381
2010-03-03,-0.00388
2010-03-04,-0.00651409090909
2010-03-05,-0.00843333333333
2010-03-08,-0.0103056521739
2010-03-09,-0.0136487234043
2010-03-10,-0.0179425
2010-03-11,-0.0239279591837
2010-03-12,-0.027582
2010-03-15,-0.03209
2010-03-16,-0.029304
2010-03-17,-0.032514
2010-03-18,-0.034906
2010-03-19,-0.034466
2010-03-22,-0.034396
2010-03-23,-0.035302
2010-03-24,-0.03372
2010-03-25,-0.031418
2010-03-26,-0.02639
2010-03-28,-0.022584
2010-03-29,-0.020216
2010-03-30,-0.018186
2010-03-31,-0.018038
2010-04-01,-0.019962
2010-04-04,-0.023352
2010-04-05,-0.0245
2010-04-06,-0.024678
2010-04-07,-0.025378
2010-04-08,-0.02854
2010-04-11,-0.031646
2010-04-12,-0.037338
2010-04-13,-0.038708
2010-04-14,-0.03764
2010-04-15,-0.03599
2010-04-18,-0.033786
2010-04-19,-0.032026
2010-04-20,-0.032874
2010-04-21,-0.032064
2010-04-22,-0.03097
2010-04-25,-0.030042
2010-04-26,-0.023342
