Date,kdjd_9
2010-01-04,51.9754878245
2010-01-05,57.5219189115
2010-01-06,63.1649009493
2010-01-07,68.5506327084
2010-01-08,71.9853777208
2010-01-11,74.0287461723
2010-01-12,76.1252720355
2010-01-13,79.2391199422
2010-01-14,82.2868387927
2010-01-15,84.93678837
2010-01-18,86.5993907546
2010-01-19,88.3484483429
2010-01-20,90.3326278092
2010-01-21,92.0781668867
2010-01-22,92.8567683981
2010-01-25,90.1382512366
2010-01-26,89.0273815555
2010-01-27,88.5769508049
2010-01-28,89.425419086
2010-01-29,90.9774695347
2010-02-01,90.5716473595
2010-02-02,86.8145992295
2010-02-03,83.0904176655
2010-02-04,82.0461851918
2010-02-05,82.3744489796
2010-02-08,82.1987962743
2010-02-09,79.0769949087
2010-02-10,75.7237816881
2010-02-11,72.7268780874
2010-02-12,70.9409472532
2010-02-15,69.2044778536
2010-02-16,66.2449453707
2010-02-17,62.280721814
2010-02-18,57.7275404769
2010-02-19,52.7136342012
2010-02-22,50.1476414647
2010-02-23,50.0008966514
2010-02-24,50.8554905263
2010-02-25,54.394576511
2010-02-26,55.8817938259
2010-03-01,55.4866701623
2010-03-02,49.1458740716
2010-03-03,46.7122714756
2010-03-04,46.3382589046
2010-03-05,45.8153314487
2010-03-08,46.239106251
2010-03-09,46.6641682705
2010-03-10,46.2843875513
2010-03-11,47.0258649375
2010-03-12,48.335564935
2010-03-15,49.884876918
2010-03-16,52.0049732996
2010-03-17,53.5863039076
2010-03-18,55.987075358
2010-03-19,61.3811738046
2010-03-22,66.8451351963
2010-03-23,69.6275359023
2010-03-24,72.3622317463
2010-03-25,75.4241188767
2010-03-26,79.5156110595
2010-03-28,82.1507554707
2010-03-29,82.3663717831
2010-03-30,79.5178357277
2010-03-31,73.8817174987
2010-04-01,68.1529096917
2010-04-04,62.5441555465
2010-04-05,57.2562689992
2010-04-06,55.3458634518
2010-04-07,54.8508565147
2010-04-08,56.0719553667
2010-04-11,57.1796736817
2010-04-12,52.5488068344
2010-04-13,50.5297790197
2010-04-14,50.6317700469
2010-04-15,52.4106545242
2010-04-18,55.2301966416
2010-04-19,57.2610198702
2010-04-20,58.9048778454
2010-04-21,63.6614826171
2010-04-22,69.1649940766
2010-04-25,71.487728223
2010-04-26,75.3794427324
2010-04-27,78.2048643563
2010-04-28,76.0891855902
2010-04-29,72.8439979154
2010-05-02,69.8931637781
2010-05-03,69.5921158491
2010-05-04,71.9053240013
2010-05-05,75.5390305602
2010-05-06,78.8485814373
2010-05-09,77.308873767
2010-05-10,73.8199044548
