Date,kdjj_9
2010-01-04,63.8284147718
2010-01-05,90.8005054333
2010-01-06,97.0227931763
2010-01-07,100.865023263
2010-01-08,92.5938477947
2010-01-11,86.2889568817
2010-01-12,88.7044272147
2010-01-13,97.9222073826
2010-01-14,100.573151896
2010-01-15,100.836485834
2010-01-18,96.5750050624
2010-01-19,98.8427938723
2010-01-20,102.237704607
2010-01-21,102.551401352
2010-01-22,97.5283774663
2010-01-25,73.8271482672
2010-01-26,82.3621634694
2010-01-27,85.8743663007
2010-01-28,94.5162287725
2010-01-29,100.289772227
2010-02-01,88.1367143086
2010-02-02,64.2723104496
2010-02-03,60.7453282815
2010-02-04,75.7807903492
2010-02-05,84.3440317067
2010-02-08,81.1448800425
2010-02-09,60.3461867152
2010-02-10,55.6045023642
2010-02-11,54.7454564833
2010-02-12,60.2253622482
2010-02-15,58.7856614556
2010-02-16,48.4877504738
2010-02-17,38.4953804734
2010-02-18,30.4084524546
2010-02-19,22.6301965471
2010-02-22,29.4486547426
2010-02-23,42.5487642007
2010-02-24,48.9193933844
2010-02-25,70.3978930206
2010-02-26,57.720352093
2010-03-01,46.5212172165
2010-03-02,8.82276808831
2010-03-03,32.0038659657
2010-03-04,44.9643877613
2010-03-05,43.885501283
2010-03-08,50.0053103654
2010-03-09,50.3091765353
2010-03-10,44.9214157441
2010-03-11,52.2091743107
2010-03-12,56.7660416576
2010-03-15,59.6173644417
2010-03-16,65.0533605395
2010-03-17,63.3173147676
2010-03-18,70.5700474751
2010-03-19,93.8755436104
2010-03-22,99.7226786416
2010-03-23,86.3892939866
2010-03-24,88.8185341215
2010-03-25,93.8296763634
2010-03-26,104.088820513
2010-03-28,97.9787483221
2010-03-29,83.6721242339
2010-03-30,62.4350804378
2010-03-31,40.0709319245
2010-04-01,33.7842007867
2010-04-04,28.8945151239
2010-04-05,25.5309565647
2010-04-06,43.8848239886
2010-04-07,54.2090795307
2010-04-08,64.507454874
2010-04-11,64.2697411483
2010-04-12,24.8624352333
2010-04-13,38.3501591847
2010-04-14,51.1125214005
2010-04-15,62.9381251735
2010-04-18,72.0113098638
2010-04-19,69.3292560279
2010-04-20,68.6729278486
2010-04-21,92.1261822104
2010-04-22,102.128423163
2010-04-25,85.3805819998
2010-04-26,98.6972792855
2010-04-27,95.1334828074
2010-04-28,63.3776537159
2010-04-29,53.3602200707
2010-05-02,51.1206631199
2010-05-03,67.061206347
2010-05-04,85.4065608253
2010-05-05,97.1928123456
2010-05-06,98.6532553255
2010-05-09,67.8681048377
2010-05-10,52.6071175232
2010-05-11,44.9116417864
2010-05-12,40.7022894109
2010-05-13,53.0498472931
2010-05-16,54.1268029446
2010-05-17,60.096435471
2010-05-18,70.6021382937
2010-05-19,91.7282022241
2010-05-20,82.5355061993
2010-05-23,83.6684311923
2010-05-24,82.9821679275
2010-05-25,79.8309692414
2010-05-26,51.9279208789
2010-05-27,37.3081092524
2010-05-30,35.7745848061
2010-05-31,44.9155169081
2010-06-01,49.0449246937
2010-06-02,46.5027950911
2010-06-03,54.2745913838
2010-06-06,89.3322146814
2010-06-07,97.0246159972
2010-06-08,89.7555407305
2010-06-09,68.9362620122
2010-06-10,52.1985327311
2010-06-13,38.0479323762
2010-06-14,21.2292709917
2010-06-15,22.6263539127
2010-06-16,24.0297715352
2010-06-17,20.3659766801
2010-06-20,22.774389829
2010-06-21,27.9659073929
2010-06-22,70.371705996
2010-06-23,74.4910153769
2010-06-24,76.6394782127
2010-06-27,81.2019639611
2010-06-28,103.218167412
2010-06-29,96.7024493759
2010-06-30,98.9420644629
2010-07-01,77.2916904308
2010-07-04,64.775366134
2010-07-05,52.9748883913
2010-07-06,45.884536947
2010-07-07,48.1142438355
2010-07-08,41.009471082
2010-07-11,43.2059903803
2010-07-12,41.9541880944
2010-07-13,59.9985754565
2010-07-14,80.703402976
2010-07-15,100.454198378
2010-07-18,110.477934466
2010-07-19,95.0855857697
2010-07-20,84.2285655906
2010-07-21,68.99805051
2010-07-22,61.6641875192
2010-07-25,62.6407119977
2010-07-26,57.6147970421
2010-07-27,57.018038479
2010-07-28,59.4468202146
