Date,kdjk_9
2010-01-04,55.9264634736
2010-01-05,68.6147810854
2010-01-06,74.450865025
2010-01-07,79.3220962266
2010-01-08,78.8548677454
2010-01-11,78.1154830755
2010-01-12,80.3183237619
2010-01-13,85.4668157557
2010-01-14,88.3822764936
2010-01-15,90.2366875245
2010-01-18,89.9245955239
2010-01-19,91.8465635194
2010-01-20,94.3009867419
2010-01-21,95.5692450418
2010-01-22,94.4139714209
2010-01-25,84.7012169135
2010-01-26,86.8056421935
2010-01-27,87.6760893035
2010-01-28,91.1223556481
2010-01-29,94.0815704321
2010-02-01,89.7600030092
2010-02-02,79.3005029695
2010-02-03,75.6420545375
2010-02-04,79.9577202442
2010-02-05,83.0309765553
2010-02-08,81.8474908637
2010-02-09,72.8333921775
2010-02-10,69.0173552468
2010-02-11,66.733070886
2010-02-12,67.3690855849
2010-02-15,65.7315390543
2010-02-16,60.3258804051
2010-02-17,54.3522747005
2010-02-18,48.6211778028
2010-02-19,42.6858216499
2010-02-22,42.7429287189
2010-02-23,46.4580793472
2010-02-24,48.629875405
2010-02-25,57.876306389
2010-02-26,54.2318726531
2010-03-01,49.930597626
2010-03-02,33.287065084
2010-03-03,39.7269217464
2010-03-04,44.1781374044
2010-03-05,43.8280789647
2010-03-08,46.459057474
2010-03-09,47.0958933885
2010-03-10,45.2458934989
2010-03-11,48.322864634
2010-03-12,50.8309948793
2010-03-15,52.9008541836
2010-03-16,56.1900682624
2010-03-17,56.7122332569
2010-03-18,60.7641303474
2010-03-19,72.1530454236
2010-03-22,77.7621744637
2010-03-23,75.1850816369
2010-03-24,77.8267863161
2010-03-25,81.544668392
2010-03-26,87.6964455947
2010-03-28,87.4196110728
2010-03-29,82.7966489277
2010-03-30,73.8201266303
2010-03-31,62.6090563828
2010-04-01,56.6950109726
2010-04-04,51.3264585191
2010-04-05,46.6803700801
2010-04-06,51.5249684739
2010-04-07,54.8582002083
2010-04-08,59.1790581158
2010-04-11,59.8383803416
2010-04-12,43.5825864933
2010-04-13,46.6887322925
2010-04-14,50.9670913696
2010-04-15,56.055982991
2010-04-18,60.9276538843
2010-04-19,61.361581666
2010-04-20,62.2185373552
2010-04-21,73.1919878664
2010-04-22,80.1835474665
2010-04-25,76.1408834962
2010-04-26,83.1679964049
2010-04-27,83.85912404
2010-04-28,71.8601056819
2010-04-29,66.3551409817
2010-05-02,63.5389135869
2010-05-03,68.5965391889
2010-05-04,76.2395007022
2010-05-05,82.6003313713
2010-05-06,85.3108756448
2010-05-09,74.0232939615
2010-05-10,66.6035580948
2010-05-11,61.3060055545
2010-05-12,57.1599454267
2010-05-13,60.1006622311
2010-05-16,59.5549553763
2010-05-17,61.3379189688
2010-05-18,65.6630082503
2010-05-19,75.4226256552
2010-05-20,73.8122668687
2010-05-23,75.5439831987
2010-05-24,76.4105057986
2010-05-25,75.9988009515
2010-05-26,64.5878042662
2010-05-27,56.5136159423
2010-05-30,53.1127473668
2010-05-31,54.5534093304
2010-06-01,54.9463137496
2010-06-02,53.0137740548
2010-06-03,55.4144040426
2010-06-06,70.2762693617
2010-06-07,76.2952906856
2010-06-08,76.1413049015
2010-06-09,69.1636477121
2010-06-10,61.9578514916
2010-06-13,54.499120088
2010-06-14,44.9409526787
2010-06-15,42.1523194038
2010-06-16,39.9643604576
2010-06-17,36.1177928165
2010-06-20,34.8997104323
2010-06-21,35.3924578735
2010-06-22,52.5054357776
2010-06-23,56.8231784006
