Date,rsi_12
2010-01-04,
2010-01-05,100.0
2010-01-06,75.0
2010-01-07,81.7110036276
2010-01-08,64.1848717727
2010-01-11,62.0796668464
2010-01-12,69.0552141952
2010-01-13,75.7093510298
2010-01-14,83.7676967007
2010-01-15,83.8639559066
2010-01-18,81.920762173
2010-01-19,85.5420953719
2010-01-20,88.935727277
2010-01-21,90.6954025826
2010-01-22,92.7101146505
2010-01-25,63.3594675482
2010-01-26,75.4117586229
2010-01-27,77.9398204773
2010-01-28,80.4602041164
2010-01-29,81.0879208472
2010-02-01,75.423783502
2010-02-02,61.2089499143
2010-02-03,65.5475376679
2010-02-04,71.0299550102
2010-02-05,71.4055129513
2010-02-08,66.8049084441
2010-02-09,56.6693677275
2010-02-10,58.5009805608
2010-02-11,58.7263675395
2010-02-12,60.5445684718
2010-02-15,57.7305697437
2010-02-16,54.2806128415
2010-02-17,50.7491186971
2010-02-18,45.9436852437
2010-02-19,41.2285481196
2010-02-22,43.0787218868
2010-02-23,47.7080207165
2010-02-24,47.3458998758
2010-02-25,53.9768567907
2010-02-26,43.6399842035
2010-03-01,41.3370659949
2010-03-02,28.0948530437
2010-03-03,44.522578347
2010-03-04,44.6468652187
2010-03-05,42.4672922416
2010-03-08,44.3581382491
2010-03-09,43.4969158958
2010-03-10,40.484202871
2010-03-11,40.828124779
2010-03-12,38.8679372251
2010-03-15,39.0276096719
2010-03-16,41.0434799333
2010-03-17,39.7878085681
2010-03-18,43.8066296808
2010-03-19,52.9433889288
2010-03-22,54.2945659446
2010-03-23,47.4564942871
2010-03-24,52.0076697402
2010-03-25,53.9601994977
2010-03-26,61.2092193701
2010-03-28,55.4544541112
2010-03-29,50.2314062842
2010-03-30,45.9589238469
2010-03-31,41.5787600595
2010-04-01,41.4645592565
2010-04-04,40.1124315973
2010-04-05,37.8672975982
2010-04-06,48.0230598541
2010-04-07,46.637067522
2010-04-08,45.9142690278
2010-04-11,40.8085443859
2010-04-12,30.2286165291
2010-04-13,42.587567209
2010-04-14,43.9212956937
2010-04-15,46.0408607398
2010-04-18,47.4730862041
2010-04-19,44.9944941225
2010-04-20,43.5630246528
2010-04-21,49.5893522879
2010-04-22,49.3298425607
2010-04-25,42.7718409538
2010-04-26,50.7502425308
2010-04-27,48.3348652049
2010-04-28,40.1479702548
2010-04-29,39.5280846053
2010-05-02,40.5297809473
2010-05-03,48.0054791152
2010-05-04,57.6782907394
2010-05-05,68.9111127696
2010-05-06,71.2703191417
2010-05-09,50.8702615634
2010-05-10,50.9933390974
2010-05-11,50.5330011972
2010-05-12,49.6768626505
2010-05-13,57.0483147091
2010-05-16,57.2166037288
2010-05-17,59.9351773064
2010-05-18,62.722683748
2010-05-19,71.4407327785
2010-05-20,60.7513807316
2010-05-23,63.1865948637
2010-05-24,64.1784884218
2010-05-25,62.5728212905
2010-05-26,50.7388528532
2010-05-27,50.3630188683
2010-05-30,50.3866015951
2010-05-31,54.961841939
2010-06-01,54.1283649962
2010-06-02,50.8740899207
2010-06-03,55.7525502598
2010-06-06,62.9728262663
2010-06-07,58.7980073451
2010-06-08,53.7957560668
2010-06-09,46.6517282346
2010-06-10,46.4929786328
2010-06-13,44.1737940008
2010-06-14,40.3784825215
2010-06-15,41.0888698532
2010-06-16,40.7517900062
2010-06-17,37.602871486
2010-06-20,35.6093744433
2010-06-21,36.9915917979
2010-06-22,49.2968188688
2010-06-23,43.2129980317
2010-06-24,43.715935916
2010-06-27,44.4317812242
2010-06-28,52.8676711513
2010-06-29,47.693732234
2010-06-30,50.2100454047
2010-07-01,43.2820556414
2010-07-04,42.9903271855
2010-07-05,41.2266277499
2010-07-06,40.6579866102
2010-07-07,42.0956078379
2010-07-08,38.4328641173
2010-07-11,40.1514355392
2010-07-12,38.8373773964
2010-07-13,43.849224704
2010-07-14,45.7876907189
2010-07-15,51.5369546953
2010-07-18,53.129293866
2010-07-19,47.3496742615
2010-07-20,46.3457046828
2010-07-21,41.6539189235
2010-07-22,41.8260064349
2010-07-25,44.8430092099
2010-07-26,42.5311144599
2010-07-27,43.5674852819
2010-07-28,45.2504369602
2010-07-29,41.8217083325
2010-08-01,34.715928715
2010-08-02,42.1405148181
2010-08-03,42.1405148181
2010-08-04,41.5675011429
2010-08-05,42.2681796348
2010-08-08,25.3314802535
2010-08-09,47.1697379217
2010-08-10,50.441208119
2010-08-11,53.4134601684
2010-08-12,52.5638089541
2010-08-15,38.4548890374
2010-08-16,49.5644261552
2010-08-17,47.4387770409
2010-08-18,47.7603626572
2010-08-19,51.5743331785
2010-08-22,38.9936216915
2010-08-23,51.9637219726
2010-08-24,51.8645143096
2010-08-25,52.846593708
2010-08-26,50.4332179659
2010-08-29,37.8975973775
2010-08-30,50.9064797089
2010-08-31,49.9050363268
2010-09-01,47.7909959814
2010-09-02,47.6819123088
2010-09-05,35.9539993778
2010-09-06,47.0042716075
2010-09-07,47.9852255927
2010-09-08,46.0174635127
2010-09-09,46.8973089239
2010-09-12,37.6573423476
2010-09-13,47.5604721636
2010-09-14,45.141128026
2010-09-15,48.8677066698
2010-09-16,48.1968859698
2010-09-19,39.8169186434
2010-09-20,50.7706585525
