Date,rsv_9
2010-01-04,67.7793904209
2010-01-05,93.991416309
2010-01-06,86.1230329041
2010-01-07,89.0645586298
2010-01-08,77.9204107831
2010-01-11,76.6367137356
2010-01-12,84.7240051348
2010-01-13,95.7637997433
2010-01-14,94.2131979695
2010-01-15,93.9455095863
2010-01-18,89.3004115226
2010-01-19,95.6904995103
2010-01-20,99.209833187
2010-01-21,98.1057616417
2010-01-22,92.1034241789
2010-01-25,65.2757078987
2010-01-26,91.0144927536
2010-01-27,89.4169835234
2010-01-28,98.0148883375
2010-01-29,100.0
2010-02-01,81.1168681635
2010-02-02,58.3815028902
2010-02-03,68.3251576734
2010-02-04,88.5890516577
2010-02-05,89.1774891775
2010-02-08,79.4805194805
2010-02-09,54.8051948052
2010-02-10,61.3852813853
2010-02-11,62.1645021645
2010-02-12,68.6411149826
2010-02-15,62.456445993
2010-02-16,49.5145631068
2010-02-17,42.4050632911
2010-02-18,37.1589840075
2010-02-19,30.8151093439
2010-02-22,42.8571428571
2010-02-23,53.8883806038
2010-02-24,52.9734675206
2010-02-25,76.369168357
2010-02-26,46.9430051813
2010-03-01,41.3280475719
2010-03-02,0.0
2010-03-03,52.6066350711
2010-03-04,53.0805687204
2010-03-05,43.1279620853
2010-03-08,51.7210144928
2010-03-09,48.3695652174
2010-03-10,41.5458937198
2010-03-11,54.476806904
2010-03-12,55.8472553699
2010-03-15,57.0405727924
2010-03-16,62.76849642
2010-03-17,57.7565632458
2010-03-18,68.8679245283
2010-03-19,94.930875576
2010-03-22,88.9804325438
2010-03-23,70.0308959835
2010-03-24,83.1101956746
2010-03-25,88.9804325438
2010-03-26,100.0
2010-03-28,86.865942029
2010-03-29,73.5507246377
2010-03-30,55.8670820353
2010-03-31,40.1869158879
2010-04-01,44.8669201521
2010-04-04,40.5893536122
2010-04-05,37.3881932021
2010-04-06,61.2141652614
2010-04-07,61.5246636771
2010-04-08,67.8207739308
2010-04-11,61.1570247934
2010-04-12,11.0709987966
2010-04-13,52.9010238908
2010-04-14,59.5238095238
2010-04-15,66.2337662338
2010-04-18,70.670995671
2010-04-19,62.2294372294
2010-04-20,63.9324487334
2010-04-21,95.1388888889
2010-04-22,94.1666666667
2010-04-25,68.0555555556
2010-04-26,97.2222222222
2010-04-27,85.2413793103
2010-04-28,47.8620689655
2010-04-29,55.3452115813
2010-05-02,57.9064587973
2010-05-03,78.711790393
2010-05-04,91.5254237288
2010-05-05,95.3219927096
2010-05-06,90.7319641917
2010-05-09,51.448130595
2010-05-10,51.7640863612
2010-05-11,50.7109004739
2010-05-12,48.8678251711
2010-05-13,65.9820958399
2010-05-16,58.4635416667
2010-05-17,64.9038461538
2010-05-18,74.3131868132
2010-05-19,94.9418604651
2010-05-20,70.5915492958
2010-05-23,79.0074158585
2010-05-24,78.1435509984
2010-05-25,75.1753912574
2010-05-26,41.7658108954
2010-05-27,40.3652392947
2010-05-30,46.3110102157
2010-05-31,57.4347332577
2010-06-01,55.732122588
2010-06-02,49.1486946652
2010-06-03,60.2156640182
2010-06-06,100.0
2010-06-07,88.3333333333
2010-06-08,75.8333333333
2010-06-09,55.2083333333
2010-06-10,47.5462590507
2010-06-13,39.5816572808
2010-06-14,25.82461786
2010-06-15,36.5750528541
2010-06-16,35.5884425652
2010-06-17,28.4246575342
2010-06-20,32.4635456639
2010-06-21,36.3779527559
2010-06-22,86.7313915858
2010-06-23,65.4586636467
2010-06-24,67.1574178935
2010-06-27,73.1503579952
2010-06-28,100.0
2010-06-29,79.5016987542
2010-06-30,88.5617214043
2010-07-01,60.9286523216
2010-07-04,59.5454545455
2010-07-05,52.2727272727
2010-07-06,50.0
2010-07-07,56.330472103
2010-07-08,44.7478991597
2010-07-11,51.0978043912
2010-07-12,47.1057884232
2010-07-13,70.2850877193
2010-07-14,85.125
2010-07-15,98.0558930741
2010-07-18,100.0
2010-07-19,75.9788359788
2010-07-20,73.544973545
2010-07-21,61.6931216931
2010-07-22,62.0105820106
2010-07-25,67.4074074074
2010-07-26,59.7065462754
2010-07-27,61.5124153499
2010-07-28,64.3340857788
2010-07-29,57.223476298
2010-08-01,51.5231788079
2010-08-02,67.0498084291
2010-08-03,75.5395683453
2010-08-04,73.9568345324
2010-08-05,76.6862170088
2010-08-08,9.23753665689
2010-08-09,74.2296918768
2010-08-10,85.0480109739
2010-08-11,89.3536121673
2010-08-12,86.6920152091
2010-08-15,30.4182509506
2010-08-16,72.7503168568
2010-08-17,63.1178707224
2010-08-18,64.3852978454
2010-08-19,79.3409378961
2010-08-22,13.6118598383
2010-08-23,77.4064171123
2010-08-24,76.871657754
2010-08-25,82.2192513369
2010-08-26,70.7219251337
2010-08-29,-0.636942675159
2010-08-30,70.4458598726
2010-08-31,64.2038216561
2010-09-01,54.1416566627
2010-09-02,62.2807017544
2010-09-05,-1.65975103734
2010-09-06,55.3310886644
2010-09-07,61.0549943883
2010-09-08,48.9337822671
2010-09-09,54.6448087432
2010-09-12,-4.43925233645
2010-09-13,67.3008323424
2010-09-14,58.3450210379
2010-09-15,85.9747545582
2010-09-16,83.9650145773
2010-09-19,8.16326530612
2010-09-20,92.8870292887
2010-09-21,90.0976290098
2010-09-22,20.0836820084
2010-09-23,80.6136680614
2010-09-26,6.14525139665
2010-09-27,68.479776848
2010-09-28,69.2934782609
2010-09-29,65.3514180025
2010-09-30,62.2340425532
2010-10-03,-4.78971962617
2010-10-04,69.976635514
2010-10-05,51.582867784
2010-10-06,71.9836400818
2010-10-07,65.6441717791
2010-10-10,12.5385405961
2010-10-11,53.9592760181
2010-10-12,69.6369636964
2010-10-13,52.3759239704
2010-10-14,60.929250264
2010-10-17,4.18160095579
2010-10-18,73.5106382979
2010-10-19,92.6595744681
2010-10-20,76.7021276596
2010-10-21,94.8958333333
2010-10-24,39.4610202117
2010-10-25,93.2627526468
2010-10-26,87.8442545109
2010-10-27,100.966183575
2010-10-28,95.2879581152
2010-11-01,21.7864923747
2010-11-02,85.0762527233
2010-11-03,76.4542936288
2010-11-04,62.8681177977
2010-11-05,55.8163265306
2010-11-08,60.2040816327
2010-11-09,77.5510204082
2010-11-10,81.0234541578
2010-11-11,90.9090909091
2010-11-12,100.894632207
2010-11-15,49.9504459861
2010-11-16,90.991810737
2010-11-17,97.8902953586
2010-11-18,88.8080072793
2010-11-19,68.820861678
2010-11-22,25.3986332574
2010-11-23,78.1211372064
2010-11-24,93.5567010309
2010-11-25,78.7371134021
2010-11-26,70.3608247423
2010-11-29,88.5309278351
2010-11-30,76.0162601626
2010-12-01,72.6287262873
2010-12-02,63.7279596977
2010-12-03,62.5704622322
2010-12-06,1.4
2010-12-07,51.3661202186
2010-12-08,47.4499089253
2010-12-09,63.2422243167
2010-12-10,79.8174442191
2010-12-13,86.9706840391
2010-12-14,73.9413680782
2010-12-15,73.9413680782
2010-12-16,80.3474484256
2010-12-17,86.210640608
2010-12-20,40.2352941176
2010-12-21,86.5284974093
2010-12-22,76.8707482993
2010-12-23,81.2591508053
2010-12-24,71.4494875549
2010-12-27,70.197740113
2010-12-28,64.8293963255
2010-12-29,71.6535433071
2010-12-30,60.141509434
2010-12-31,48.6127864897
2011-01-03,6.58482142857
2011-01-04,47.9763079961
2011-01-05,75.161987041
2011-01-06,83.2613390929
2011-01-07,95.2380952381
2011-01-10,39.4129979036
2011-01-11,95.4926624738
2011-01-12,45.8071278826
2011-01-13,28.0922431866
2011-01-14,74.5283018868
2011-01-17,44.3349753695
2011-01-18,84.1584158416
2011-01-19,69.1654879774
2011-01-20,67.5034867503
2011-01-21,20.178041543
2011-01-24,-3.50076103501
2011-01-25,74.6606334842
2011-01-26,70.4374057315
2011-01-27,1.78571428571
2011-01-28,87.7583465819
2011-01-31,26.1398176292
2011-02-01,75.9090909091
2011-02-02,74.9291784703
2011-02-03,71.388101983
2011-02-04,79.4617563739
2011-02-07,16.8555240793
2011-02-08,22.0963172805
2011-02-09,73.9376770538
2011-02-10,71.0526315789
2011-02-11,79.3462109955
2011-02-14,7.13224368499
2011-02-15,82.912332838
2011-02-16,86.0326894502
2011-02-17,86.6270430906
2011-02-18,78.5604900459
2011-02-21,5.91900311526
2011-02-22,88.4735202492
2011-02-23,93.28
2011-02-24,95.7516339869
2011-02-25,82.1895424837
2011-02-28,77.7777777778
2011-03-01,75.8169934641
2011-03-02,73.5294117647
2011-03-03,68.0
2011-03-04,60.4770017036
2011-03-07,44.1226575809
2011-03-08,57.2614107884
2011-03-09,43.8438438438
2011-03-10,69.8630136986
2011-03-11,82.3529411765
2011-03-14,63.4980988593
2011-03-15,70.4419889503
2011-03-16,65.7458563536
2011-03-17,101.104972376
2011-03-18,107.506702413
2011-03-21,65.1474530831
2011-03-22,53.0465949821
2011-03-23,21.6216216216
2011-03-24,32.9317269076
2011-03-25,28.3582089552
2011-03-27,0.0
2011-03-28,37.6865671642
2011-03-29,61.4100185529
2011-03-30,21.2631578947
2011-03-31,46.3662790698
2011-04-03,25.2647503782
2011-04-04,14.9773071104
2011-04-05,17.7004538578
2011-04-06,35.40802213
2011-04-07,28.3315844701
2011-04-10,7.70156438026
2011-04-11,20.4018547141
2011-04-12,42.4764890282
2011-04-13,52.2304832714
2011-04-14,0.0
2011-04-17,9.83263598326
2011-04-18,52.510460251
2011-04-19,51.3227513228
2011-04-20,27.1540469974
2011-04-21,27.1540469974
2011-04-24,7.04960835509
2011-04-25,42.819843342
2011-04-26,24.2990654206
2011-04-27,28.9719626168
2011-04-28,85.4111405836
2011-05-01,24.4031830239
2011-05-02,56.7088607595
2011-05-03,64.854368932
2011-05-04,75.744047619
2011-05-05,105.505952381
2011-05-08,63.0919220056
2011-05-09,83.75
2011-05-10,69.1680261011
2011-05-11,87.6623376623
2011-05-12,64.0202702703
2011-05-15,96.2837837838
2011-05-16,82.0971867008
2011-05-17,49.3606138107
2011-05-18,32.2250639386
2011-05-19,43.989769821
2011-05-22,32.2250639386
2011-05-23,98.5835694051
