Date,tr
2010-01-04,
2010-01-05,0.0657
2010-01-06,0.0572
2010-01-07,0.0667
2010-01-08,0.0538
2010-01-11,0.0565
2010-01-12,0.0586
2010-01-13,0.0526
2010-01-14,0.0618
2010-01-15,0.0619
2010-01-18,0.0522
2010-01-19,0.0686
2010-01-20,0.0689
2010-01-21,0.0637
2010-01-22,0.0776
2010-01-25,0.0558
2010-01-26,0.0625
2010-01-27,0.0803
2010-01-28,0.0648
2010-01-29,0.0529
2010-02-01,0.0762
2010-02-02,0.0549
2010-02-03,0.0703
2010-02-04,0.103
2010-02-05,0.0631
2010-02-08,0.0538
2010-02-09,0.0537
2010-02-10,0.0617
2010-02-11,0.0603
2010-02-12,0.0665
2010-02-15,0.0473
2010-02-16,0.0521
2010-02-17,0.0644
2010-02-18,0.0557
2010-02-19,0.0545
2010-02-22,0.0479
2010-02-23,0.0601
2010-02-24,0.0482
2010-02-25,0.0652
2010-02-26,0.0615
2010-03-01,0.0549
2010-03-02,0.0655
2010-03-03,0.0579
2010-03-04,0.0521
2010-03-05,0.0503
2010-03-08,0.06
2010-03-09,0.06
2010-03-10,0.056
2010-03-11,0.0537
2010-03-12,0.0548
2010-03-15,0.0523
2010-03-16,0.0526
2010-03-17,0.0492
2010-03-18,0.0758
2010-03-19,0.0588
2010-03-22,0.0588
2010-03-23,0.0621
2010-03-24,0.0666
2010-03-25,0.0616
2010-03-26,0.0524
2010-03-28,0.0507
2010-03-29,0.0636
2010-03-30,0.0547
2010-03-31,0.0503
2010-04-01,0.0476
2010-04-04,0.0472
2010-04-05,0.0559
2010-04-06,0.0726
2010-04-07,0.0749
2010-04-08,0.0478
2010-04-11,0.0563
2010-04-12,0.0608
2010-04-13,0.0482
2010-04-14,0.0557
2010-04-15,0.0617
2010-04-18,0.0559
2010-04-19,0.0554
2010-04-20,0.0502
2010-04-21,0.0646
2010-04-22,0.0496
2010-04-25,0.0571
2010-04-26,0.0687
2010-04-27,0.0477
2010-04-28,0.056
2010-04-29,0.052
2010-05-02,0.048
2010-05-03,0.0817
2010-05-04,0.0758
2010-05-05,0.0973
2010-05-06,0.0624
2010-05-09,0.0746
2010-05-10,0.0666
2010-05-11,0.0472
2010-05-12,0.0474
2010-05-13,0.0908
2010-05-16,0.0689
2010-05-17,0.0658
2010-05-18,0.0843
2010-05-19,0.1163
2010-05-20,0.0671
2010-05-23,0.052
2010-05-24,0.0895
2010-05-25,0.0745
2010-05-26,0.0545
2010-05-27,0.0612
2010-05-30,0.0821
2010-05-31,0.0225
2010-06-01,0.0473
2010-06-02,0.0635
2010-06-03,0.0288
2010-06-06,0.0592
2010-06-07,0.0473
2010-06-08,0.0562
2010-06-09,0.0474
2010-06-10,0.0609
2010-06-13,0.0524
2010-06-14,0.0477
2010-06-15,0.0607
2010-06-16,0.0515
2010-06-17,0.0546
2010-06-20,0.051
2010-06-21,0.0512
2010-06-22,0.0663
2010-06-23,0.0637
2010-06-24,0.0597
2010-06-27,0.0564
2010-06-28,0.0772
2010-06-29,0.0483
2010-06-30,0.0181
2010-07-01,0.0588
2010-07-04,0.0535
2010-07-05,0.0497
2010-07-06,0.0526
2010-07-07,0.0561
2010-07-08,0.0545
2010-07-11,0.0537
2010-07-12,0.0491
2010-07-13,0.0641
2010-07-14,0.0617
2010-07-15,0.0739
2010-07-18,0.0546
2010-07-19,0.054
2010-07-20,0.0528
